Particle size,static bed height,Gap height,Superficial velocity,Solid circulation Rate
470,0.6,0.142,2.21,21.69
470,0.5,0.121,2.12,13.04
470,0.6,0.12,2.28,15.65
470,0.5,0.125,2.19,23.27
470,0.4,0.085,2.16,19.54
470,0.6,0.123,2.28,23.45
470,0.5,0.099,2.21,26.08
470,0.6,0.137,2.23,2.9
470,0.5,0.136,2.1,8.05
470,0.5,0.084,2.39,11.3
470,0.5,0.142,2.17,26.58
470,0.4,0.095,2.19,6.16
470,0.5,0.128,2.08,6.06
470,0.4,0.114,2.29,18.26
470,0.6,0.099,2.12,12.93
470,0.5,0.136,2.14,20.91
470,0.5,0.124,2.11,18.73
470,0.4,0.113,2.26,18.87
470,0.5,0.138,2.35,8.16
470,0.4,0.112,2.16,7.38
470,0.4,0.082,2.12,25.58
470,0.6,0.126,2.26,24.09
470,0.6,0.114,2.39,9.8
470,0.5,0.123,2.34,12.93
470,0.5,0.099,2.16,15.21
470,0.4,0.132,2.1,3.81
470,0.6,0.091,2.36,7.16
470,0.6,0.101,2.24,3.19
470,0.6,0.077,2.06,5.75
470,0.5,0.138,2.29,20.99
470,0.6,0.093,2.34,20.19
470,0.6,0.142,2.37,27.36
470,0.4,0.085,2.25,16.06
470,0.5,0.142,2.18,8.77
470,0.6,0.101,2.28,3.32
470,0.4,0.113,2.3,4.67
470,0.5,0.096,2.36,17.74
470,0.5,0.079,2.23,7.01
470,0.4,0.142,2.21,26.45
470,0.5,0.097,2.1,27.05
470,0.5,0.14,2.34,8.59
470,0.4,0.098,2.07,25.15
470,0.5,0.083,2.1,11.18
470,0.6,0.094,2.08,10.86
470,0.6,0.104,2.21,9.28
470,0.6,0.083,2.22,15.68
470,0.5,0.104,2.32,16.85
470,0.5,0.113,2.17,2.83
470,0.5,0.135,2.05,7.68
470,0.5,0.088,2.17,13.27
470,0.5,0.091,2.1,8.55
470,0.5,0.097,2.2,5.25
470,0.4,0.138,2.38,6.12
470,0.5,0.096,2.2,26.13
470,0.6,0.14,2.08,16.46
470,0.5,0.141,2.38,17.5
470,0.6,0.113,2.25,27.32
470,0.4,0.125,2.38,8.35
470,0.4,0.094,2.4,4.07
470,0.6,0.101,2.26,17.71
470,0.5,0.105,2.07,15.83
470,0.4,0.092,2.26,12.31
470,0.6,0.136,2.33,11.82
470,0.6,0.121,2.36,20.84
470,0.5,0.144,2.27,13.71
470,0.4,0.126,2.13,13.25
470,0.5,0.102,2.05,26.8
470,0.6,0.123,2.3,17.27
470,0.6,0.123,2.16,22.89
470,0.6,0.093,2.34,23.35
470,0.5,0.116,2.27,12.25
470,0.4,0.096,2.27,23.07
470,0.4,0.118,2.16,27.56
470,0.6,0.082,2.27,8.44
470,0.6,0.075,2.14,16.72
470,0.4,0.142,2.12,20.37
470,0.5,0.134,2.29,13
470,0.4,0.143,2.09,20.02
470,0.5,0.108,2.31,25.61
470,0.5,0.111,2.19,24.88
470,0.6,0.124,2.16,25.46
470,0.4,0.129,2.19,23.9
470,0.5,0.083,2.07,6.83
470,0.5,0.12,2.25,20.15
470,0.5,0.141,2.35,19.53
470,0.5,0.136,2.08,16.96
470,0.5,0.139,2.34,11.77
470,0.4,0.145,2.3,16.57
470,0.6,0.078,2.07,17.79
470,0.5,0.144,2.32,22.88
470,0.6,0.134,2.2,3.61
470,0.5,0.081,2.37,5.51
470,0.5,0.088,2.28,5.79
470,0.5,0.142,2.29,23.38
470,0.6,0.132,2.38,17.52
470,0.5,0.121,2.27,11.54
470,0.5,0.129,2.19,14.1
470,0.4,0.108,2.4,4.22
470,0.5,0.095,2.07,17.99
470,0.6,0.088,2.32,18.22
470,0.6,0.079,2.39,25.13
470,0.5,0.136,2.25,16.38
470,0.6,0.11,2.19,26.13
470,0.4,0.1,2.2,20.75
470,0.6,0.109,2.39,6.24
470,0.5,0.127,2.16,9.84
470,0.6,0.087,2.26,4.01
470,0.5,0.119,2.32,5.7
